Sistema 1	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Alvenaria	Bloco cerâmico (kg)	3,35E-02	1,32E+01	1,37E-07	1,18E+02	8,06E-03	8,23E-07	2,69E-03	1,49E+02
Água	Água (kg)	7,10E-06	9,91E-04	4,44E-10	1,04E-02	1,97E-06	8,48E-11	4,31E-07	1,87E-02
	Gesso (kg)	6,10E-04	1,32E-01	1,45E-09	1,66E+00	1,24E-04	1,13E-08	2,90E-05	2,09E+00
TOTAL		9,02E-02	2,96E+01	1,67E-06	2,31E+02	2,46E-02	1,75E-06	6,09E-03	2,91E+02
Sistema 12	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	7,01E-03	3,65E+00	7,56E-09	1,51E+01	1,61E-03	1,82E-07	4,63E-04	1,96E+01
	Cal (kg)	1,37E-02	4,79E+00	6,31E-08	3,23E+01	3,97E-03	2,33E-07	5,02E-04	3,78E+01
	Areia (kg)	1,17E-03	1,58E-01	8,08E-10	2,17E+00	2,76E-04	2,68E-08	2,70E-05	2,41E+00
	Água (kg)	5,76E-05	8,03E-03	3,60E-09	8,45E-02	1,60E-05	6,88E-10	3,49E-06	1,52E-01
Argamassa de assentamento	Cimento (kg)	3,54E-03	1,84E+00	3,81E-09	7,62E+00	8,14E-04	9,19E-08	2,34E-04	9,90E+00
	Cal (kg)	7,12E-03	2,48E+00	3,27E-08	1,67E+01	2,06E-03	1,21E-07	2,60E-04	1,96E+01
	Areia (kg)	5,95E-04	7,98E-02	4,09E-10	1,10E+00	1,40E-04	1,36E-08	1,37E-05	1,22E+00
	Água (kg)	2,91E-05	4,06E-03	1,82E-09	4,27E-02	8,09E-06	3,48E-10	1,77E-06	7,67E-02
Aço	Aço (kg)	9,41E-04	2,49E-01	5,44E-09	2,58E+00	4,73E-04	1,40E-08	1,63E-04	3,12E+00
	Galvanização (m²)	5,10E-03	9,09E-02	1,07E-07	1,15E+00	1,30E-03	1,03E-08	2,13E-05	1,63E+00
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Alvenaria	Bloco cerâmico (kg)	3,35E-02	1,32E+01	1,37E-07	1,18E+02	8,06E-03	8,23E-07	2,69E-03	1,49E+02
TOTAL		8,12E-02	2,80E+01	1,01E-06	2,13E+02	2,16E-02	1,63E-06	5,22E-03	2,67E+02
Sistema 13	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de assentamento	Cimento (kg)	4,54E-03	2,36E+00	4,90E-09	9,78E+00	1,05E-03	1,18E-07	3,00E-04	1,27E+01
	Cal (kg)	8,92E-03	3,11E+00	4,10E-08	2,10E+01	2,58E-03	1,52E-07	3,26E-04	2,45E+01
	Areia (kg)	7,62E-04	1,02E-01	5,24E-10	1,41E+00	1,79E-04	1,74E-08	1,75E-05	1,56E+00
	Água (kg)	3,73E-05	5,21E-03	2,33E-09	5,48E-02	1,04E-05	4,46E-10	2,26E-06	9,84E-02
Aço	Aço (kg)	9,41E-04	2,49E-01	5,44E-09	2,58E+00	4,73E-04	1,40E-08	1,63E-04	3,12E+00
	Galvanização (m²)	5,10E-03	9,09E-02	1,07E-07	1,15E+00	1,30E-03	1,03E-08	2,13E-05	1,63E+00
Alvenaria	Bloco cerâmico (kg)	4,27E-02	1,69E+01	1,74E-07	1,50E+02	1,03E-02	1,05E-06	3,43E-03	1,89E+02
TOTAL		6,30E-02	2,28E+01	3,35E-07	1,86E+02	1,58E-02	1,36E-06	4,26E-03	2,33E+02
Sistema  14	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	1,40E-02	7,29E+00	1,51E-08	3,02E+01	3,23E-03	3,65E-07	9,26E-04	3,93E+01
	Cal (kg)	2,75E-02	9,59E+00	1,26E-07	6,46E+01	7,95E-03	4,67E-07	1,01E-03	7,56E+01
